county,zip_code
Multnomah,97010
Multnomah,97019
Multnomah,97024
Multnomah,97030
Multnomah,97060
Multnomah,97080
Multnomah,97201
Multnomah,97202
Multnomah,97203
Multnomah,97204
Multnomah,97205
Multnomah,97206
Multnomah,97209
Multnomah,97210
Multnomah,97211
Multnomah,97212
Multnomah,97213
Multnomah,97214
Multnomah,97215
Multnomah,97216
Multnomah,97217
Multnomah,97218
Multnomah,97219
Multnomah,97220
Multnomah,97221
Multnomah,97227
Multnomah,97230
Multnomah,97231
Multnomah,97232
Multnomah,97233
Multnomah,97236
Multnomah,97239
Multnomah,97266
Washington,97005
Washington,97006
Washington,97007
Washington,97008
Washington,97062
Washington,97075
Washington,97076
Washington,97077
Washington,97106
Washington,97113
Washington,97116
Washington,97119
Washington,97123
Washington,97124
Washington,97125
Washington,97133
Washington,97140
Washington,97223
Washington,97224
Washington,97225
Washington,97229
Clatsop,97102
Clatsop,97103
Clatsop,97110
Clatsop,97121
Clatsop,97138
Clatsop,97145
Clatsop,97146
Columbia,97018
Columbia,97048
Columbia,97051
Columbia,97053
Columbia,97054
Columbia,97056
Columbia,97064
Umatilla,97801
Umatilla,97810
Umatilla,97813
Umatilla,97826
Umatilla,97835
Umatilla,97838
Umatilla,97859
Umatilla,97862
Umatilla,97868
Umatilla,97875
Umatilla,97880
Umatilla,97882
Umatilla,97886
Wallowa,97828
Wallowa,97842
Wallowa,97846
Wallowa,97885
Morrow,97818
Morrow,97836
Morrow,97839
Morrow,97843
Morrow,97844
Union,97824
Union,97827
Union,97850
Union,97867
Union,97876
Union,97883
Gilliam,97001
Gilliam,97012
Gilliam,97812
Gilliam,97830
Sherman,97033
Sherman,97039
Sherman,97050
Sherman,97065
